,,,,,,,,,,
Acteur,Aristotle,NGP VAN,The Data Trust,Catalist/Voting List Management Cooperative,Rayid Gnani + Daniel Porter,Blue Labs,Cambridge Analytica,ComScore + Rentrak + Nielsen,Optimizely.com,Twitter API
Description,Boite de conseil et strategie politique,Societe privee associee au parti Democrate americain,Societe privee etroitement rattachee au parti Republicain americain,Base de donnees du parti Democrate,Chief Data Scientist et Directeur de modelisation statistique,Societe de conseil en stategie politique fondee par des anciens de l'equipe statistique et big data d'Obama,Boite de conseil et strategie politique,Entreprise d'analyse publicitaire ,Entreprise offrant une plateforme d'experiementation,Framework permettant de recuperer des tweets
Position,Fourni des logiciels et de riches bases de donnees pour les campagnes electorales. ,Fourni des logiciels de gestion de campagne et de developpement de base de donnees,Developpe une base de donnee d'electeurs republicains,Aggregation des donnees recolte par les candidats democrates au niveau National,Usage de modeles statistiques nommee uplift modeling et persuasion modeling pour l'election d'Obama 2012,Offre des solutions basee sur l'usage des donnee pour la gestion d'une campagne et pour la mobilisation d'electeurs,Modelise la personalite des electeurs pour mieux les cibler,Collectent des donnees des decodeurs TV numerique et les vendent,Permet au campagnes electorales de faire du A/B testing pour affiner leur message,Permet de faire des analyse de sentiments sur les tweet pour sonder l'opinion publique
